x,y
-3.975,-10.180
-3.931,-10.180
-3.887,-10.180
-3.843,-10.180
-3.799,-10.180
-3.756,-10.180
-3.712,-10.180
-3.668,-10.180
-3.624,-10.180
-3.580,-10.180
-3.536,-10.180
-3.492,-10.180
-3.448,-10.180
-3.405,-10.180
-3.361,-10.180
-3.317,-10.180
-3.273,-10.180
-3.229,-10.180
-3.185,-10.180
-3.141,-10.180
-3.097,-10.180
-3.054,-10.180
-3.010,-10.180
-2.966,-10.180
-2.922,-10.180
-2.878,-10.180
-2.834,-10.180
-2.790,-10.181
-2.746,-10.181
-2.702,-10.180
-2.659,-10.180
-2.615,-10.180
-2.571,-10.180
-2.527,-10.180
-2.483,-10.180
-2.439,-10.180
-2.395,-10.180
-2.351,-10.180
-2.308,-10.180
-2.264,-10.180
-2.220,-10.180
-2.176,-10.179
-2.132,-10.179
-2.088,-10.179
-2.044,-10.178
-2.000,-10.177
-1.957,-10.176
-1.913,-10.174
-1.869,-10.170
-1.825,-10.165
-1.781,-10.158
-1.737,-10.148
-1.694,-10.133
-1.670,-10.111
-1.649,-10.089
-1.630,-10.069
-1.609,-10.048
-1.590,-10.027
-1.570,-10.006
-1.550,-9.985
-1.532,-9.965
-1.517,-9.943
-1.508,-9.920
-1.500,-9.899
-1.491,-9.877
-1.482,-9.856
-1.475,-9.835
-1.462,-9.812
-1.438,-9.796
-1.394,-9.811
-1.361,-9.798
-1.344,-9.773
-1.331,-9.751
-1.316,-9.728
-1.302,-9.708
-1.271,-9.686
-1.244,-9.668
-1.216,-9.680
-1.198,-9.661
-1.184,-9.662
-1.169,-9.697
-1.152,-9.667
-1.139,-9.656
-1.132,-9.710
-1.118,-9.675
-1.093,-9.714
-1.075,-9.662
-1.066,-9.668
-1.052,-9.656
-1.039,-9.722
-1.025,-9.662
-1.011,-9.639
-0.995,-9.719
-0.984,-9.635
-0.975,-9.654
-0.965,-9.603
-0.952,-9.660
-0.943,-9.687
-0.934,-9.645
-0.925,-9.687
-0.920,-9.643
-0.911,-9.685
-0.904,-9.619
-0.900,-9.714
-0.870,-9.626
-0.852,-9.726
-0.847,-9.625
-0.840,-9.694
-0.822,-9.605
-0.815,-9.681
-0.804,-9.609
-0.788,-9.675
-0.781,-9.575
-0.751,-9.666
-0.733,-9.588
-0.740,-9.695
-0.715,-9.622
-0.711,-9.780
-0.697,-9.730
-0.683,-9.885
-0.672,-9.662
-0.663,-9.725
-0.656,-9.609
-0.647,-9.723
-0.637,-9.616
-0.633,-9.754
-0.621,-9.608
-0.610,-9.745
-0.592,-9.567
-0.583,-9.706
-0.573,-9.561
-0.560,-9.718
-0.560,-9.498
-0.535,-9.782
-0.519,-9.574
-0.501,-9.707
-0.491,-9.580
-0.469,-9.727
-0.459,-9.560
-0.419,-9.718
-0.404,-9.447
-0.394,-9.753
-0.380,-9.532
-0.369,-9.748
-0.362,-9.608
-0.346,-9.703
-0.339,-9.586
-0.318,-9.687
-0.318,-9.593
-0.296,-9.745
-0.305,-9.603
-0.280,-9.740
-0.291,-9.601
-0.255,-9.704
-0.245,-9.517
-0.243,-9.519
-0.223,-9.715
-0.204,-9.450
-0.191,-9.734
-0.181,-9.492
-0.150,-9.626
-0.124,-9.419
-0.102,-9.643
-0.090,-9.603
-0.095,-9.517
-0.072,-9.452
-0.051,-9.586
-0.042,-9.363
-0.017,-9.580
-0.024,-9.391
0.029,-9.517
0.010,-9.403
0.051,-9.485
0.079,-9.357
0.070,-9.231
0.0704,-8.7570
0.0824,-8.5022
0.1193,-8.1110
0.4190,-7.8471
0.5718,-7.6470
1.0000,-7.2648
1.0000,-5
-6,-5
-6,-10.18
