x,y
-7.37,-11.7
-7.19,-11.6
-7.02,-11.5
-6.84,-11.4
-6.67,-11.3
-6.50,-11.3
-6.33,-11.2
-6.15,-11.1
-5.98,-11.0
-5.81,-10.9
-5.64,-10.8
-5.48,-10.8
-5.38,-10.7
-4.91,-10.4
-4.76,-10.4
-4.66,-10.3
-4.56,-10.2
-4.47,-10.1
-4.39,-10.0
-4.33,-9.95
-4.27,-9.86
-4.21,-9.77
-4.17,-9.69
-4.13,-9.60
-4.10,-9.51
-4.06,-9.42
-4.04,-9.34
-4.01,-9.25
-3.98,-9.16
-3.95,-9.07
-3.92,-8.97
-3.90,-8.88
-3.86,-8.79
-3.78,-8.68
-3.68,-8.63
-3.52,-8.58
-3.32,-8.53
-3.13,-8.48
-2.93,-8.43
-2.73,-8.38
-2.54,-8.34
-2.34,-8.30
-2.14,-8.25
-1.97,-8.21
-1.87,-8.11
-1.82,-8.02
-1.78,-7.93
-1.66,-7.84
-1.46,-7.86
-1.29,-7.94
-1.12,-8.02
-0.795,-8.16
-0.612,-8.24
-0.420,-8.33
-0.224,-8.40
-0.0364,-8.50
0.0103,-8.55
0.193,-8.60
0.380,-8.68
0.572,-8.76
0.769,-8.85
0.965,-8.93
1.16,-9.01
1.36,-9.09
1.55,-9.17
1.75,-9.25
1.95,-9.33
2.14,-9.41
2.34,-9.48
2.54,-9.56
2.73,-9.63
2.93,-9.70
3.13,-9.76
3.32,-9.82
3.52,-9.88
3.72,-9.93
3.91,-9.98
4.11,-10.0
4.27,-10.0
4.30,-5.00
-7.77,-4.99
-7.54,-11.8
